[2026-05-21T16:51:10.193Z] applyHighlights: no active editor
[2026-05-21T16:51:10.694Z] applyHighlights: no active editor
[2026-05-21T16:51:11.202Z] applyHighlights: no active editor
[2026-05-21T16:51:11.706Z] applyHighlights: no active editor
[2026-05-21T16:51:12.209Z] applyHighlights: no active editor
[2026-05-21T16:51:12.712Z] applyHighlights: no active editor
[2026-05-21T16:51:13.218Z] applyHighlights: no active editor
[2026-05-21T16:51:13.722Z] applyHighlights: no active editor
[2026-05-21T16:51:14.237Z] applyHighlights: no active editor
[2026-05-21T16:51:14.736Z] applyHighlights: no active editor
[2026-05-21T16:51:15.238Z] applyHighlights: no active editor
[2026-05-21T16:51:15.737Z] applyHighlights: no active editor
[2026-05-21T16:51:16.249Z] applyHighlights: no active editor
[2026-05-21T16:51:16.763Z] applyHighlights: no active editor
[2026-05-21T16:51:17.268Z] applyHighlights: no active editor
[2026-05-21T16:51:17.770Z] applyHighlights: no active editor
[2026-05-21T16:51:18.271Z] applyHighlights: no active editor
[2026-05-21T16:51:18.777Z] applyHighlights: no active editor
[2026-05-21T16:51:19.279Z] applyHighlights: no active editor
[2026-05-21T16:51:19.780Z] applyHighlights: no active editor
[2026-05-21T16:51:20.281Z] applyHighlights: no active editor
[2026-05-21T16:51:20.786Z] applyHighlights: no active editor
[2026-05-21T16:51:21.290Z] applyHighlights: no active editor
[2026-05-21T16:51:21.795Z] applyHighlights: no active editor
[2026-05-21T16:51:22.296Z] applyHighlights: no active editor
[2026-05-21T16:51:22.799Z] applyHighlights: no active editor
[2026-05-21T16:51:23.303Z] applyHighlights: no active editor
[2026-05-21T16:51:23.804Z] applyHighlights: no active editor
[2026-05-21T16:51:24.309Z] applyHighlights: no active editor
[2026-05-21T16:51:24.821Z] applyHighlights: no active editor
[2026-05-21T16:51:25.324Z] applyHighlights: no active editor
[2026-05-21T16:51:25.828Z] applyHighlights: no active editor
[2026-05-21T16:51:26.327Z] applyHighlights: no active editor
[2026-05-21T16:51:26.836Z] applyHighlights: no active editor
[2026-05-21T16:51:27.335Z] applyHighlights: no active editor
[2026-05-21T16:51:27.840Z] applyHighlights: no active editor
[2026-05-21T16:51:28.346Z] applyHighlights: no active editor
[2026-05-21T16:51:28.848Z] applyHighlights: no active editor
[2026-05-21T16:51:29.359Z] applyHighlights: no active editor
[2026-05-21T16:51:29.862Z] applyHighlights: no active editor
[2026-05-21T16:51:30.368Z] applyHighlights: no active editor
[2026-05-21T16:51:30.869Z] applyHighlights: no active editor
[2026-05-21T16:51:31.370Z] applyHighlights: no active editor
[2026-05-21T16:51:31.876Z] applyHighlights: no active editor
[2026-05-21T16:51:32.385Z] applyHighlights: no active editor
[2026-05-21T16:51:32.885Z] applyHighlights: no active editor
[2026-05-21T16:51:33.383Z] applyHighlights: no active editor
[2026-05-21T16:51:33.888Z] applyHighlights: no active editor
[2026-05-21T16:51:34.398Z] applyHighlights: no active editor
[2026-05-21T16:51:34.900Z] applyHighlights: no active editor
[2026-05-21T16:51:35.404Z] applyHighlights: no active editor
[2026-05-21T16:51:35.906Z] applyHighlights: no active editor
[2026-05-21T16:51:36.417Z] applyHighlights: no active editor
[2026-05-21T16:51:36.920Z] applyHighlights: no active editor
[2026-05-21T16:51:37.431Z] applyHighlights: no active editor
[2026-05-21T16:51:37.944Z] applyHighlights: no active editor
[2026-05-21T16:51:38.460Z] applyHighlights: no active editor
[2026-05-21T16:51:38.962Z] applyHighlights: no active editor
[2026-05-21T16:51:39.464Z] applyHighlights: no active editor
[2026-05-21T16:51:39.965Z] applyHighlights: no active editor
[2026-05-21T16:51:40.477Z] applyHighlights: no active editor
[2026-05-21T16:51:40.982Z] applyHighlights: no active editor
[2026-05-21T16:51:41.485Z] applyHighlights: no active editor
[2026-05-21T16:51:41.988Z] applyHighlights: no active editor
[2026-05-21T16:51:42.494Z] applyHighlights: no active editor
[2026-05-21T16:51:43.009Z] applyHighlights: no active editor
[2026-05-21T16:51:43.525Z] applyHighlights: no active editor
[2026-05-21T16:51:44.024Z] applyHighlights: no active editor
[2026-05-21T16:51:44.536Z] applyHighlights: no active editor
